"","Neighborhood","GrLivArea","SalePrice","logGrLivArea","logSalePrice"
"1","BrkSide",1077,118000,6.98193467715639,11.6784399034478
"2","NAmes",1253,157000,7.13329595489607,11.9640010843304
"3","BrkSide",854,132000,6.74993119378857,11.7905572015685
"4","NAmes",1004,149000,6.91174730025167,11.9117015849276
"5","NAmes",1339,139000,7.19967834569117,11.8422292121128
"6","NAmes",900,134800,6.80239476332431,11.8115474774603
"7","NAmes",1600,207500,7.37775890822787,12.2428866186529
"8","BrkSide",520,68500,6.25382881157547,11.1345890242503
"9","NAmes",1700,165500,7.43838353004431,12.0167264737993
"10","NAmes",1297,153000,7.16780918431644,11.9381932003746
"11","NAmes",1057,109000,6.96318998587024,11.5991031612113
"12","Edwards",1152,82000,7.04925484125584,11.3144745262464
"13","NAmes",1324,160000,7.18841273649695,11.982929094216
"14","NAmes",1150,141000,7.0475172213573,11.8565151693603
"15","BrkSide",1176,114500,7.06987412845857,11.6483301019764
"16","NAmes",1360,130000,7.2152399787301,11.7752897294377
"17","NAmes",1425,180500,7.26192709270275,12.1034860567551
"18","NAmes",2207,180000,7.69938940625674,12.1007121298723
"19","NAmes",2223,244000,7.7066129139642,12.4049235042753
"20","NAmes",1086,144900,6.99025650049388,11.8837991283088
"21","NAmes",952,135750,6.85856503479136,11.8185702377962
"22","BrkSide",1285,127000,7.15851399732932,11.7519423654407
"23","NAmes",2142,193500,7.66949525100769,12.173032791452
"24","NAmes",1065,126500,6.97073007814353,11.7479975871497
"25","NAmes",1040,109900,6.94697599213542,11.6073261403917
"26","NAmes",1235,98600,7.11882624906208,11.4988265405907
"27","Edwards",960,94750,6.86693328446188,11.4589971229447
"28","Edwards",835,83000,6.72743172485086,11.3265958867787
"29","NAmes",1225,128950,7.11069612297883,11.7671800113095
"30","Edwards",1855,136900,7.52563997504154,11.8270060112765
"31","Edwards",1125,155000,7.02553831463852,11.9511803959014
"32","NAmes",1080,136000,6.98471632011827,11.8204101647182
"33","NAmes",1348,155000,7.20637729147225,11.9511803959014
"34","NAmes",1053,150000,6.95939851213398,11.9183905730784
"35","NAmes",2157,226000,7.67647364638916,12.3282902782544
"36","NAmes",1327,150750,7.19067603433221,11.9233781145894
"37","NAmes",1214,143000,7.10167597161944,11.870599909242
"38","NAmes",864,115000,6.76157276880406,11.6526874073454
"39","NAmes",1385,166000,7.23345541862144,12.0197430673387
"40","Edwards",1709,130000,7.44366368311559,11.7752897294377
"41","BrkSide",875,105000,6.77422388635761,11.5617156291397
"42","BrkSide",1344,115000,7.20340552108309,11.6526874073454
"43","Edwards",1096,79000,6.99942246750796,11.2772031314492
"44","NAmes",1040,109500,6.94697599213542,11.6036798282387
"45","Edwards",1355,127500,7.2115567333138,11.7558716435806
"46","NAmes",1656,215000,7.4121603349452,12.2783933071098
"47","NAmes",1362,163000,7.21670948670946,12.0015054797889
"48","Edwards",2158,243000,7.67693714581808,12.4008167223227
"49","Edwards",1340,120000,7.20042489294496,11.6952470217642
"50","BrkSide",1252,127000,7.13249755166004,11.7519423654407
"51","NAmes",1479,184000,7.2991214627108,12.1226910365911
"52","Edwards",1709,130000,7.44366368311559,11.7752897294377
"53","NAmes",3112,235000,8.04302088529828,12.3673407931263
"54","Edwards",1121,140000,7.02197642307216,11.8493977015914
"55","NAmes",1100,141000,7.00306545878646,11.8565151693603
"56","NAmes",1092,145000,6.99576615630485,11.8844890214027
"57","Edwards",864,98000,6.76157276880406,11.4927227576527
"58","Edwards",1212,186000,7.10002716662926,12.1335019526953
"59","NAmes",1236,134450,7.11963563801764,11.808947661697
"60","NAmes",864,97000,6.76157276880406,11.4824662574855
"61","NAmes",1194,148000,7.08506429395255,11.9049675527463
"62","Edwards",1487,113000,7.30451594646016,11.6351430976945
"63","NAmes",1375,140000,7.22620901010067,11.8493977015914
"64","BrkSide",1306,76500,7.17472430983638,11.2450460198146
"65","NAmes",1302,158000,7.17165682276851,11.9703503120091
"66","NAmes",1314,145000,7.18083119904456,11.8844890214027
"67","NAmes",1382,176000,7.23128700432762,12.0782392740203
"68","Edwards",1113,148000,7.01481435127554,11.9049675527463
"69","NAmes",1632,139000,7.39756153552405,11.8422292121128
"70","BrkSide",1548,205000,7.34471905414967,12.2307652581205
"71","NAmes",1734,159000,7.45818615734049,11.9766594812024
"72","NAmes",858,88000,6.75460409948796,11.3850920934603
"73","BrkSide",1396,153575,7.24136628332232,11.9419443260321
"74","Edwards",1716,131000,7.44775128004791,11.7829526021833
"75","NAmes",1644,167000,7.40488757561612,12.0257490913989
"76","Edwards",861,82500,6.75809450442773,11.3205535723228
"77","NAmes",972,132000,6.87935580446044,11.7905572015685
"78","NAmes",2978,242000,7.99900721324395,12.3966930051388
"79","NAmes",1383,145250,7.23201033166476,11.8862116747142
"80","BrkSide",2134,214500,7.6657534318617,12.2760650173502
"81","NAmes",1728,119000,7.454719949364,11.6868787720937
"82","NAmes",1056,139000,6.96224346426621,11.8422292121128
"83","NAmes",1215,155000,7.10249935577465,11.9511803959014
"84","NAmes",1040,87500,6.94697599213542,11.3793940723457
"85","BrkSide",1577,140200,7.36327958696304,11.8508252535826
"86","NAmes",958,151500,6.86484777797086,11.9283409039316
"87","NAmes",1478,157500,7.29844510150815,11.9671807372478
"88","Edwards",1111,95000,7.01301578963963,11.4616321705827
"89","BrkSide",1505,145000,7.31654817718298,11.8844890214027
"90","Edwards",1922,198500,7.56112158953024,12.1985443791094
"91","NAmes",1394,159000,7.23993259132047,11.9766594812024
"92","NAmes",1431,165000,7.26612877955645,12.0137007528827
"93","NAmes",1268,132000,7.14519613499717,11.7905572015685
"94","NAmes",1287,162000,7.16006920759613,11.9953516142145
"95","NAmes",1319,123000,7.18462915271731,11.7199396343546
"96","Edwards",904,61000,6.80682936039218,11.0186291431554
"97","Edwards",1184,81000,7.07665381544395,11.3022044336546
"98","Edwards",1125,125000,7.02553831463852,11.7360690162844
"99","Edwards",1367,119000,7.22037383672395,11.6868787720937
"100","NAmes",882,106500,6.78219205600679,11.5759002641316
"101","BrkSide",788,100000,6.66949808985788,11.5129254649702
"102","Edwards",1144,129000,7.04228617193974,11.7675676833438
"103","NAmes",1812,169500,7.50218648660292,12.0406082058026
"104","Edwards",1276,60000,7.15148546390474,11.0020998412042
"105","Edwards",1134,126000,7.0335064842877,11.7440371859336
"106","NAmes",1056,142000,6.96224346426621,11.8635823365834
"107","NAmes",1196,139000,7.08673793451058,11.8422292121128
"108","NAmes",907,109008,6.81014245011514,11.5991765530135
"109","BrkSide",904,119000,6.80682936039218,11.6868787720937
"110","Edwards",1196,110000,7.08673793451058,11.6082356447746
"111","Edwards",1440,118000,7.27239839257005,11.6784399034478
"112","BrkSide",1573,162900,7.36073990305828,12.0008917945901
"113","Edwards",1689,127500,7.4318919168078,11.7558716435806
"114","NAmes",1888,190000,7.54327334670545,12.1547793511426
"115","BrkSide",1203,110000,7.09257371597468,11.6082356447746
"116","NAmes",1277,167000,7.15226885603254,12.0257490913989
"117","NAmes",1644,146500,7.40488757561612,11.8947807074393
"118","Edwards",1072,148000,6.97728134163075,11.9049675527463
"119","NAmes",1113,147000,7.01481435127554,11.8981878657609
